印版名,电路ID,FPGA端口号,电压,描述
CLK,FPGA_CLK_IN,AC19,3.3V,时钟-100MHz
SW18,FPGA_SW0,AC21,3.3V,拨码开关
SW19,FPGA_SW1,AD24,3.3V,拨码开关
SW20,FPGA_SW2,AC22,3.3V,拨码开关
SW21,FPGA_SW3,AC23,3.3V,拨码开关
SW22,FPGA_SW4,AB6,3.3V,拨码开关
SW23,FPGA_SW5,W6,3.3V,拨码开关
SW24,FPGA_SW6,AA7,3.3V,拨码开关
SW25,FPGA_SW7,Y6,3.3V,拨码开关
BT_REST,FPGA_RSTn_IN,Y3,3.3V,复位按键-低电平有效
LED1,FPGA_LED1,H7,3.3V,LED-低电平有效
LED2,FPGA_LED2,D5,3.3V,LED-低电平有效
LED3,FPGA_LED3,A3,3.3V,LED-低电平有效
LED4,FPGA_LED4,A5,3.3V,LED-低电平有效
LED5,FPGA_LED5,A4,3.3V,LED-低电平有效
LED6,FPGA_LED6,F7,3.3V,LED-低电平有效
LED7,FPGA_LED7,G8,3.3V,LED-低电平有效
LED8,FPGA_LED8,H8,3.3V,LED-低电平有效
LED9,FPGA_LED9,J8,3.3V,LED-低电平有效
LED10,FPGA_LED10,J23,3.3V,LED-低电平有效
LED11,FPGA_LED11,J26,3.3V,LED-低电平有效
LED12,FPGA_LED12,G9,3.3V,LED-低电平有效
LED21,FPGA_LED13,J19,3.3V,LED-低电平有效
LED22,FPGA_LED14,H23,3.3V,LED-低电平有效
LED23,FPGA_LED15,J21,3.3V,LED-低电平有效
LED24,FPGA_LED16,K23,3.3V,LED-低电平有效
LED13,FPGA_LED0R,G7,3.3V,双色LED红色输入-高电平有效
LED13,FPGA_LED0G,F8,3.3V,双色LED绿色输入-高电平有效
LED27,FPGA_LED1R,B5,3.3V,双色LED红色输入-高电平有效
LED27,FPGA_LED1G,D6,3.3V,双色LED绿色输入-高电平有效
SW_STEP0,FPGA_KEY_STEP0,Y5,3.3V,断点调试按键-低电平有效
SW_STEP1,FPGA_KEY_STEP1,V6,3.3V,断点调试按键-低电平有效
LED17,FPGA_NUM0_DP,C4,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_A,A2,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_B,D4,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_C,E5,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_D,B4,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_E,B2,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_F,E6,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM0_G,C3,3.3V,共阴极八段数码管段选引脚-高电平有效
LED17,FPGA_NUM_CSn0,D3,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn1,D25,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn2,D26,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn3,E25,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn4,E26,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn5,G25,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn6,G26,3.3V,共阴极八段数码管位选引脚-低电平有效
LED17,FPGA_NUM_CSn7,H26,3.3V,共阴极八段数码管位选引脚-低电平有效
U7,FPGA_UART_TXD,H19,3.3V,UART发送引脚
U7,FPGA_UART_RXD,F23,3.3V,UART接收引脚
U7,FPGA_UART_RTS,F24,3.3V,UART请求发送信号
U7,FPGA_UART_DTR,F25,3.3V,UART数据终端就绪信号
U7,FPGA_UART_DCD,G20,3.3V,UART数据载波检测信号
U7,FPGA_UART_DSR,K6,3.3V,UART数据设备就绪信号
U7,FPGA_UART_RI,K7,3.3V,UART振铃指示信号
U7,FPGA_UART_CTS,E23,3.3V,UART清除发送信号
